Gene,CellType,Cohort,Diagnosis,Sex,Individual,Residuals
TMEM192,0.256899838,0.053504809,6.04E-09,0.004290087,0.183854377,0.501450884
TMEM196,0.819077769,0.00479863,0,0.000715081,0.016682824,0.158725697
TMEM198,0.108065704,0.396975738,0.055341212,0.003100219,0.14757304,0.288944088
TMEM199,0.017241908,0.48478408,0.076921852,0,0.103073584,0.317978575
TMEM200C,0.820701921,0.00850594,0.007793919,0,0.018036258,0.144961962
TMEM201,0.174210652,0.311207227,2.68E-09,9.38E-08,0.074697288,0.439884737
TMEM202-AS1,0.495319908,0.053901914,0.005658411,3.07E-07,0.188235934,0.256883525
TMEM208,0.008194574,0.561578047,0.048843064,0,0.21019807,0.171186244
TMEM209,0.314046171,0.059702527,0.001014734,0.000411265,0.11759036,0.507234944
TMEM214,0.199488885,0.232277932,0,0,0.112051195,0.456181988
TMEM218,0.394434567,0.067160066,6.36E-10,0,0.074304417,0.464100948
TMEM219,0.102532257,0.476974447,0.107591305,0,0.113987839,0.198914151
TMEM220,0.713681338,0.020850786,0.00153514,0.000206473,0.024643897,0.239082368
TMEM220-AS1,0.794196292,0,0.002422681,0.000474243,0.016377011,0.186529772
TMEM222,0.056696234,0.508018106,0.057360517,1.07E-10,0.140775357,0.237149785
TMEM223,0.1176471,0.334426034,0,9.25E-08,0.183061598,0.364865175
TMEM229B,0.76601281,0.016991782,0,0.000162969,0.041779218,0.17505322
TMEM230,0.467812096,0.141401201,0.038929767,0.00552518,0.075152331,0.271179425
TMEM231,0.33696107,0,0.001472445,0.013650568,0.313116986,0.334798929
TMEM232,0.673619993,0.033345604,0.029054234,4.51E-09,0.109389451,0.154590713
TMEM233,0.629409412,0.001084145,0.00060402,5.12E-11,0.041593953,0.327308469
TMEM234,0.138056906,0.255378535,0.031353839,0.004556307,0.149169084,0.421485329
TMEM235,0.73812667,0.016199583,2.67E-10,4.09E-11,0,0.245673747
TMEM237,0.341659931,0.145695879,0.105477419,0.002451759,0.08113619,0.323578822
TMEM240,0.277308426,0.223066539,1.54E-08,1.61E-10,0.228949235,0.270675783
TMEM241,0.428994086,0.018147816,0,0.000255634,0.061454208,0.491148255
