Gene,CellType,Cohort,Diagnosis,Sex,Individual,Residuals
AL137139.2,0.864069275,0.001035888,0,0,0,0.134894838
AL137182.1,0.205223355,0.098931272,0,0,0.099229161,0.596616212
AL138694.1,0.751475334,0.008278721,0.000547271,0.001611781,0.051856581,0.186230311
AL138701.2,0.878821461,0.006827103,0,0,0.010319423,0.104032013
AL138733.1,0.07642815,0.236757653,7.49E-11,2.19E-08,0.153980186,0.532833989
AL138756.1,0.580618847,0.026299669,0.000145071,0.003277921,0.033418568,0.356239924
AL138760.1,0.039290685,0.334668391,0.041406805,8.29E-11,0.301539337,0.283094782
AL138787.2,0.057744329,0.346490425,0.093255919,2.91E-10,0.194697547,0.30781178
AL138799.4,0.182504164,0.248695078,0.083052468,0.001952177,0.140668493,0.34312762
AL138828.1,0.176601862,0.267864937,0.15147108,0,0.067728391,0.33633373
AL138927.1,0.58447374,0.027989596,0,0.000270065,0.043797609,0.34346899
AL139021.1,0.016238003,0.340338393,0.159046934,0.000850397,0.275995789,0.207530483
AL139021.2,0.032465467,0.235906971,0.088747316,1.36E-08,0.133376997,0.509503236
AL139022.1,0.031174491,0.384321693,0.240321911,0,0.169226805,0.1749551
AL139106.1,0.339816278,0.064491111,0.001432438,2.87E-10,0.15994189,0.434318284
AL139147.1,0.034528888,0.261995352,0.263752748,8.68E-11,0.257211478,0.182511533
AL139220.2,0.821442122,0.003059485,0,0.004167515,0.0054971,0.165833778
AL139246.5,0.246730348,0.068207636,0,0.000875825,0.030129429,0.654056761
AL139260.1,0.385104012,0.078682075,0.001935388,0,0.206768412,0.327510112
AL139275.1,0.572646733,0.059385378,0,3.32E-09,0.058341145,0.309626741
AL139294.1,0.210199653,0.225783641,0.127182668,0,0.084822154,0.352011885
AL139317.5,0.517354184,0.06743177,0.014583573,6.39E-09,0.058496093,0.342134374
AL139353.2,0.13694561,0.074579531,0.017464505,0,0.210525182,0.560485172
AL139383.1,0.87984367,0.004362873,0,4.23E-10,0.007340299,0.108453157
AL139393.1,0.71973713,0.014067616,0,5.22E-11,0.093001562,0.173193692
AL139424.2,0.301324387,0.04100411,0,2.40E-10,0.12861253,0.529058972
AL139807.1,0.087009584,0.0175124,0,0,0.179064543,0.716413473
AL139815.1,0.679434245,0.004316008,0.000588923,0,0.061620921,0.254039904
AL157388.1,0.631055079,3.36E-05,0.009688157,1.29E-10,0.111785045,0.247438074
AL157392.2,0.420352863,0.101157422,0.00342928,5.82E-11,0.080673167,0.394387269
AL157392.3,0.134083839,0.202843663,0.144320818,0.000836646,0.078426504,0.43948853
AL157396.1,0.803572203,0.016313735,0.002386063,0.001683455,0.024218354,0.151826189
AL157400.3,0.242087659,0.050093341,1.64E-10,7.00E-09,0.2195233,0.488295693
AL157829.1,0.106251303,0.312746728,0.176553192,0,0.101220296,0.30322848
AL157834.1,0.361022137,0.179571618,0,0.004876053,0.208446227,0.246083966
AL157886.1,0.244876154,0.002573527,7.94E-11,0,0.040601389,0.71194893
AL157893.2,0.093677849,0.143496388,0.069520225,0.004074338,0.191075139,0.498156062
AL157911.1,0.512303716,0.019519382,0.019836011,0.001706098,0.072084562,0.374550231
AL157938.2,0.069803301,0.365560996,0.098756782,0,0.184376546,0.281502376
AL157938.3,0.032174343,0.407405622,0.163999085,0.000666994,0.257065507,0.138688449
AL157944.1,0.809104529,0.02033147,6.16E-10,1.93E-09,0.029212685,0.141351313
AL158058.2,0.756327829,0.013147449,0.016080495,0,0.017033049,0.197411178
AL158064.1,0.484230282,0.014907858,1.85E-10,1.32E-09,0.068602207,0.432259651
AL158068.2,0.140665809,0.196974977,0.163477332,6.29E-11,0.173149793,0.325732088
AL158071.1,0.228154252,0.09901729,0.005706224,1.14E-08,0.081919816,0.585202407
AL158071.3,0.348967083,0.052655069,0,0,0.233833577,0.364544271
AL158077.2,0.72279247,0.026120543,0.008214397,0,0.068578183,0.174294407
AL158151.1,0.349344122,0.029127548,0.019138615,1.20E-09,0.214676671,0.387713042
AL158152.1,0.411274302,0.006186251,0.005591965,0.003973554,0.219924841,0.353049088
AL158212.1,0.218235334,0.055259738,0.010749189,4.73E-09,0.176602977,0.539152757
AL158801.3,0.079668393,0.298229451,0.236638969,0.000574438,0.136729353,0.248159396
AL158828.1,0.280391473,0.100719459,0,2.67E-10,0.15230727,0.466581798
AL158832.2,0.336112787,0.061320912,0.010924851,1.89E-10,0.191993664,0.399647785
AL158840.1,0.515310155,0.044412738,0.008014463,1.57E-10,0.049914726,0.382347917
AL159169.2,0.150359531,0.257982152,2.59E-09,0,0.153336398,0.438321917
AL160254.1,0.239999796,0.204970164,0.020202711,8.86E-10,0.20647494,0.328352389
AL160272.1,0.791170411,0.001775437,0.003163095,4.61E-10,0.000746711,0.203144345
AL160313.1,0.366765705,0.096235666,0.00649065,0,0.161552491,0.368955488
AL160314.2,0.613799345,0.015833926,0.021429244,6.03E-10,0.143499966,0.205437519
AL161430.1,0.192265871,0.147092293,0.114607666,0.000429163,0.133228622,0.412376385
AL161449.2,0.800428077,0.0039285,0,0,0.014688565,0.180954858
AL161457.2,0.094679248,0.143169156,0.013019482,0,0.231585569,0.517546545
AL161772.1,0.12931064,0.15527973,0.346135484,0.0017206,0.053616366,0.31393718
AL162231.2,0.401338241,0.068673557,0,0.000372448,0.093899823,0.435715931
AL162253.2,0.629875114,0.030209482,8.42E-10,4.40E-10,0.061194009,0.278721394
AL162411.1,0.503438519,0.016377986,0,5.53E-07,0.05681872,0.423364222
AL162426.1,0.048979503,0.63213218,0.002498749,0,0.06703033,0.249359238
AL162431.1,0.047806831,0.156349204,1.15E-09,6.78E-10,0.211660492,0.584183472
AL162458.1,0.346727013,0.018994986,0.000276865,0.001839043,0.172559338,0.459602755
AL162493.1,0.395677364,0.053517073,0.005965687,0.001805851,0.217562409,0.325471616
AL162497.1,0.299026426,0.041807956,0,5.84E-10,0.104328394,0.554837223
AL162511.1,0.842027162,0.002861262,2.26E-11,0,0.00558492,0.149526655
AL162586.1,0.283125658,0.027423036,0,0,0.096945769,0.592505537
AL162595.1,0.245697691,0.042930219,0,2.23E-10,0.111120147,0.600251943
AL163541.1,0.603520276,0.004833905,0.001744772,7.73E-11,0,0.389901046
AL163952.1,0.35077536,0.034141707,0.011597452,4.09E-08,0.356173887,0.247311554
AL352984.1,0.228949065,0.045892264,0,0,0.124929346,0.600229325
AL353135.2,0.019737196,0.29253793,0.267669594,0.002311919,0.25085952,0.166883841
AL353151.2,0.629217024,0.000737312,7.82E-10,2.91E-10,0.099346016,0.270699647
AL353194.1,0.068982768,0.301952819,0.150311616,0.010767552,0.134196361,0.333788885
AL353576.1,0.828957016,0.022686414,0,0.000166562,0.014222782,0.133967226
AL353586.1,0.281447158,0.137914834,0.076794105,0.003036863,0.074363251,0.426443789
AL353604.1,0.62734655,0.020341974,0,0,0.040968709,0.311342766
AL353660.1,0.630053325,0.004742676,0.002588986,0,0.018507834,0.344107178
AL353688.1,0.522374379,0.011999745,0.015909456,1.05E-10,0.095335349,0.35438107
AL353689.3,0.061380112,0.340707145,0.106946844,2.14E-10,0.184858254,0.306107645
AL353743.2,0.446707968,0.065088797,0,5.84E-11,0.140399491,0.347803744
AL353746.1,0.625956448,0.071488372,0.043946044,0,0.038944911,0.219664225
AL353759.1,0.125993996,0.018615515,0,0,0.068909939,0.78648055
AL353784.1,0.360626387,0.052005235,0.004111371,0,0,0.583257008
AL354696.2,0.675289432,0.003353322,1.36E-10,7.78E-11,0.044508768,0.276848478
AL354733.1,0.161751439,0.068334199,0,1.80E-10,0.154068439,0.615845923
AL354733.3,0.169304349,0.135343978,0.007458445,0,0.329528532,0.358364695
AL354740.1,0.224508569,0.038009507,0.010354189,0,0.207148328,0.519979407
AL354771.1,0.237473696,0.153360919,0.022386105,0,0.060992226,0.525787053
AL354809.1,0.775680148,0.003167106,0.000385818,3.66E-10,0.001266388,0.219500539
AL354824.1,0.554434516,0.026330834,0.008071471,2.55E-08,0.115933764,0.29522939
AL354897.1,0.303341361,0.060308566,1.06E-10,7.24E-11,0.135723033,0.50062704
AL355001.1,0.020276667,0.283096802,0.184600226,0.001123745,0.131127465,0.379775095
AL355304.1,0.172833116,0.004269687,0.022442629,0.00104602,0.084381303,0.715027246
AL355312.3,0.198764793,0.03427251,0.026823291,1.39E-09,0.215125687,0.525013719
AL355347.1,0.399597546,0.148334469,0.010797218,0,0.139308187,0.301962581
AL355377.4,0.059794634,0.00518764,8.69E-11,0,0.099860802,0.835156924
AL355472.2,0.707740456,0.047544136,0.020198745,0,0.058342482,0.166174181
AL355472.3,0.320616264,0.196434253,0.077761712,0.005321357,0.101374589,0.298491824
AL355488.1,0.090848319,0.095978168,0.008889629,3.66E-09,0.183166103,0.621117778
AL355574.1,0.096546007,0.099099023,0,0.000373688,0.274841154,0.529140128
AL355773.1,0.250466793,0.049873085,0.015497684,0,0.346848555,0.337313883
AL355835.1,0.316651117,0.075611959,0.042117875,0,0.004332039,0.56128701
AL355881.1,0.218870957,0.190546401,0.069692038,0,0.095912605,0.424978
AL355999.1,0.264886554,0.229996332,0.115260261,6.49E-09,0.095433149,0.294423698
AL356056.2,0.266614987,0.089289877,0,1.42E-09,0.156857865,0.48723727
AL356094.2,0.454230212,0,0.003855831,0.001151612,0.13438833,0.406374016
AL356108.1,0.820799358,0.006847681,0,1.47E-16,0.003195785,0.169157176
AL356124.1,0.69347731,0.012740178,0.022012081,0.002589673,0.036474386,0.232706372
AL356295.1,0.810282891,0.00255748,0,1.77E-16,0.00604408,0.18111555
AL356481.1,0.08670004,0.005231415,0.009061468,0.003879152,0.124727418,0.770400507
AL356599.1,0.454529271,0.053285862,3.15E-10,0.000529703,0.214709848,0.276945317
AL356608.3,0.338964058,0.007968982,0.000271969,0,0.068853576,0.583941415
AL356737.2,0.432193736,0.058210834,0.007214456,3.38E-05,0,0.502347151
AL357054.2,0.641065584,0.040875727,0.013450738,3.82E-09,0.093330645,0.211277302
AL357079.1,0.160570509,0.191285763,0.055520585,0.00928314,0.132583378,0.450756624
AL357153.2,0.489565328,0.177270783,0.001292463,0.006830256,0.108633131,0.216408039
AL357497.1,0.114203742,0.13496616,4.61E-09,4.40E-09,0.381297074,0.369533015
AL357522.1,0.785869546,0.000945985,0.000573119,1.93E-07,0,0.212611156
AL357873.1,0.147283614,0.251384962,0.19334037,0.005590843,0.106873238,0.295526973
AL358334.4,0.121214011,0.272464587,0.014186689,0,0.21254059,0.379594122
AL358472.5,0.239440509,0.064089881,0.001158351,3.52E-10,0.081111775,0.614199483
AL358944.1,0.120858623,5.58E-09,0.002087721,0,0.616546082,0.260507568
AL359091.1,0.437597961,0.034960729,0.003982161,0,0.005553515,0.517905634
AL359232.1,0.384148429,0.051413598,0.024047069,0,0.299210957,0.241179947
AL359317.1,0.38316905,0.025037803,0.008008343,0,0.097040339,0.486744465
AL359317.2,0.047092216,0.325099776,0.161631996,0.00705815,0.253034369,0.206083493
AL359436.1,0.44034024,0.009545275,0.005317845,3.57E-11,0.209092757,0.335703884
AL359504.2,0.217524338,0.269468332,0.098595429,0.005996524,0.162952802,0.245462575
AL359546.1,0.285729447,0.068515663,0,0,0.171054397,0.474700494
AL359636.2,0.284256613,0.004869348,0.013261311,0,0.138852055,0.558760673
AL359643.3,0.198736894,0.006600105,0.005199543,0.000436539,0.052614252,0.736412667
AL359644.1,0.66697233,0.005229729,1.45E-09,0.001567272,0.012658018,0.313572649
AL359706.1,0.010597375,0.419180055,0.196331672,1.42E-10,0.248237323,0.125653574
AL359715.1,0.682860661,0.018998194,0.003412594,0.001269261,0.023724708,0.269734581
AL359764.2,0.441580167,0.100678898,0.013886446,0,0.07759041,0.36626408
AL359764.3,0.187672346,0.010608637,5.67E-09,3.67E-08,0.321469068,0.480249907
AL359878.1,0.152698601,0.078420725,0.000320145,0.024091175,0.222420388,0.522048965
AL359915.1,0.657943702,0,0.003237067,1.05E-10,0.044684746,0.294134484
AL359921.1,0.166786916,0.088282226,3.80E-09,2.40E-08,0.140664236,0.604266595
AL360015.1,0.20349213,0.014374412,1.87E-15,0,0.16700654,0.615126918
AL360020.1,0.116848199,0.070153268,0.003857855,0,0.226735088,0.58240559
AL360091.3,0.331894244,0.18007729,0.08026152,8.07E-09,0.081575693,0.326191245
AL365295.1,0.299089002,0.060554954,0.050369168,0,0.117652682,0.472334194
AL365356.1,0.027564586,0.372105903,0.240508064,0.005244743,0.208813898,0.145762805
AL365361.1,0.662854291,0.027445889,0.086360615,0,0.027380948,0.195958257
AL390195.2,0.307453405,1.95E-09,0.030992081,0,0.129146584,0.532407928
AL390198.1,0.136909645,0.36348687,3.69E-11,0,0.234618938,0.264984548
AL390242.1,0.041966124,0.353823463,0.135376353,0.001003446,0.245925559,0.221905055
AL390719.3,0.080208456,0.187434154,0.119280493,0.012698949,0.207417647,0.392960301
AL390728.6,0.531255769,0.101869149,0.029807017,3.10E-11,0.0310776,0.305990466
AL390755.1,0.416176012,0.00070789,5.66E-10,0,0.024915122,0.558200975
AL390783.1,0.326238151,0.077760732,0.002766872,0,0.060812529,0.532421716
AL390860.1,0.327592907,0.029955846,0.00629558,0.006407684,0.097697809,0.532050176
AL390957.1,0.27306764,0,0.009049887,4.88E-10,0.291403212,0.426479261
AL391117.1,0.645434398,0.018514429,0,0.000101107,0.013678817,0.322271249
AL391121.1,0.062204631,0.112339806,0.012545049,0.013759304,0.120031578,0.679119631
AL391684.1,0.222670646,0.062576633,7.51E-10,0,0.205340515,0.509412206
AL391807.1,0.184128739,0.351660199,0.151561835,0.013756699,0.165075376,0.133817152
AL391832.4,0.847103652,0.002325287,0.001717004,0.000180179,0.000738235,0.147935644
AL391839.1,0.044183441,0.339756901,0.204263613,0.000707139,0.179223605,0.231865301
AL391840.1,0.846278469,0.006949853,0.000229757,3.90E-11,0.040564035,0.105977886
AL391840.3,0.195916222,0.325354478,0,0,0.196559693,0.282169606
AL392023.2,0.823375908,0.010043253,0.00018201,0,0.01125772,0.155141109
AL392046.1,0.073933803,0.023621161,0.017122272,0,0.12196773,0.763355035
AL392086.3,0.855440544,0.001757218,0.000442251,3.19E-10,0.006863007,0.13549698
AL392172.1,0.793559537,0.003664553,0,0,0.001733784,0.201042126
AL442067.3,0.395794933,0.029165001,0.004603051,0,0.09973032,0.470706695
AL442071.1,0.204881086,0.140656113,0.017999956,1.11E-10,0.047005244,0.5894576
AL442125.1,0.124392823,0.066090335,0,0.016617189,0.143726377,0.649173276
AL442163.1,0.535179782,0.03103293,0.01057249,0,0.136863869,0.286350929
AL445123.2,0.853316357,0.009180635,0,0,0.016356841,0.121146167
AL445222.1,0.333066969,0.034905663,0,0.007245533,0.102666216,0.522115619
AL445248.1,0.024214879,0.255451106,0.264697707,0.008699164,0.186808237,0.260128907
AL445250.1,0.897295509,0.008197753,0.001399699,0,0.008016843,0.085090197
AL445426.1,0.69808955,0.005380128,0.001957869,0.000622872,4.69E-11,0.293949582
AL445433.2,0.739367729,0.029940784,0.010909356,0.000283987,0.081324052,0.138174092
AL445526.1,0.147310781,0.229330872,0.124813976,0,0.095696004,0.402848366
AL445623.2,0.870011935,0.02245254,0.000231199,5.54E-09,0.017416351,0.089887969
AL445928.2,0.022013312,0.412788188,0.213561743,0,0.198600237,0.15303652
AL450345.2,0.847474549,0.001500606,0.00027701,0,0.001927211,0.148820622
AL450384.2,0.060295465,0.243269103,0.083596624,0,0.232961131,0.379877676
AL450992.2,0.07550262,0.28012434,0.003394787,1.46E-08,0.254476147,0.386502092
AL450998.2,0.362504356,0.0887689,0.000300416,0,0.138372338,0.410053989
AL451070.1,0.149371248,0.034481248,0.003488429,0.000174429,0.38922316,0.423261486
AL451080.1,0.684221169,0.004313453,0.001301835,0,0.028436292,0.281727251
AL512306.3,0.064873969,0.212344718,3.05E-07,0.001001972,0.331396303,0.390382732
AL512380.2,0.316231647,0.028705842,0,0.012196207,0.130706116,0.512160188
AL512422.1,0.052433951,0.259319663,0.207770187,0.000781813,0.14498148,0.334712906
AL512603.2,0.111149706,3.48E-09,7.27E-09,3.57E-10,0.584483441,0.304366842
AL512625.3,0.310536147,0.121053863,0.06529038,9.63E-09,0.173517432,0.329602168
AL512662.2,0.695444304,0.031044955,0.004977528,0,0.028964317,0.239568896
AL513166.1,0.705395765,0.052324153,0.00661837,0,0.11957325,0.116088461
AL513188.1,0.029609584,0.357993733,0.166188643,0,0.12978231,0.31642573
AL513327.1,0.160069742,0.216257655,0.067856441,4.38E-08,0.122964899,0.432851219
AL513327.2,0.061078612,0.244407654,0.005337193,0,0.198859558,0.490316983
AL513548.1,0.291277475,0.104636999,0.01932105,1.01E-09,0.125815685,0.45894879
AL513550.1,0.49231004,0.037505292,0,0,0.053868411,0.416316258
AL583785.1,0.424574568,0.009463037,1.48E-10,0.000308684,0.081686343,0.483967367
AL583808.1,0.220773102,0.223569221,0.0616463,1.29E-06,0.15928931,0.33472078
AL583827.1,0.625539766,0.019095064,0.009343987,0,0.063089148,0.282932035
AL583829.1,0.248324943,0.103229391,0.002916644,0,0.219043993,0.426485028
AL589693.1,0.761322432,0.009504961,0,0,0.008392876,0.22077973
AL589740.1,0.828423475,0.018079015,0,2.10E-10,0.01269331,0.1408042
AL589843.1,0.658198775,0.00750798,0.001699119,0,0.149509646,0.18308448
AL589935.1,0.516371864,0.003599254,0,0,0.056516004,0.423512878
AL590006.1,0.2298447,0.1796662,0.00060973,1.29E-07,0.126265853,0.463613388
AL590550.1,0.49146904,0.064517571,0.002447462,0,0.037102778,0.404463149
AL590652.1,0.649029673,0.005444321,0.00273835,9.58E-05,0.007503476,0.335188381
AL590705.1,0.655060213,0.033953689,0,0.020019358,0.13088602,0.16008072
AL590807.1,0.517421591,0.023640276,0.012385587,0.004070377,0.115486416,0.326995752
AL591002.1,0.442525068,0.030369982,0.000207551,0,0.039690043,0.487207357
AL591043.2,0.68796028,0.028906981,0.005293616,0.00112222,0.056248758,0.220468145
AL591242.1,0.198580886,0.194651672,0,0.001012977,0.244805154,0.360949311
AL591368.1,0.44170189,1.35E-09,0.002833183,0.001314149,0.144835126,0.409315651
AL591506.1,0.291238663,0.003003491,0.001715072,0.008433518,0.302998735,0.392610521
AL591519.1,0.65774139,0.068250108,0,0.003301409,0.09446995,0.176237143
AL591686.2,0.370639378,0.008148475,0.001321217,2.87E-10,0.02190253,0.597988399
AL591895.1,0.80066305,0.010936493,0,0.000586519,0.006020953,0.181792985
AL592166.1,0.150636451,0.027186782,0,1.79E-06,0.187510759,0.634664213
AL592295.4,0.395117102,0.035846738,0.021280371,3.47E-07,0.080557329,0.467198113
AL592429.2,0.387280642,0.005193378,0.001181137,6.67E-11,8.54E-09,0.606344834
AL596087.2,0.824894905,0.016535656,0.00127706,0.001788729,0.025570179,0.129933471
AL596214.1,0.40911012,0.028368397,0.027578604,0,0.162335686,0.372607193
AL596244.1,0.340378729,0.14744713,0.007325361,3.97E-09,0.108832014,0.396016763
AL596451.1,0.220023175,0.187959692,0.167392266,0.001605349,0.039181743,0.383837775
AL603839.3,0.350979194,0.129390232,0.06185794,0.0208992,0.142113684,0.294759749
AL603840.1,0.543269458,0.002795371,0.000601177,7.57E-11,0.015164762,0.438169231
AL606489.1,0.340614452,0.032073718,0.005683346,0.002054942,0.089968382,0.529605161
AL606923.2,0.574203849,0.002122716,0.00283747,0.002858086,0.059695707,0.358282173
AL627309.5,0.246528809,0.038984081,0.000682761,0,0.083061745,0.630742604
AL645465.1,0.339282068,0.085452637,0.003964283,0.000807743,0.127518831,0.442974438
AL645568.1,0.619132539,0.024550524,0.000852246,2.88E-08,0.091416665,0.264047997
AL713852.1,0.55417221,0.059732203,0.032754265,0,0.041451347,0.311889975
AL731563.3,0.014888195,0.043080803,0,0,0.144713685,0.797317318
AL731569.1,0.037047734,0.202097342,0.00220539,0,0.084092338,0.674557196
AL731577.2,0.442426398,0.240426627,1.22E-10,0,0.114249194,0.202897781
AL731769.2,0.503125149,0.044045654,0.006110094,0.015163596,0.161731309,0.269824197
AL928654.1,0.068764246,0.159547511,0.003882246,0,0.122730994,0.645075003
ALAD,0.352486799,0.206386683,0,0.012975334,0.154323755,0.27382743
ALCAM,0.871372432,0.019478319,0,0.001847595,0.012867928,0.094433727
ALDH1A1,0.754942313,0.007529896,0.000646645,9.49E-09,0,0.236881137
ALDH1A2,0.542001127,0.022355946,0.005206967,7.35E-10,0.053211518,0.377224441
ALDH8A1,0.443309718,0.102490096,1.10E-10,0,0.141628812,0.312571374
ALDOC,0.18386638,0.353948228,0,0.003282898,0.104677902,0.354224592
ALG1,0.305505594,0.071100063,0,0,0.143155309,0.480239034
ALG10B,0.13186385,0.016668551,0,0.00156941,0.241002281,0.608895908
ALG11,0.103870922,0.048638077,0.028501719,0,0.272789157,0.546200125
ALG12,0.106405898,0.179209532,7.03E-10,0.008989299,0.08836611,0.61702916
ALG14,0.309336538,0.003012278,0.021643972,0,0.188035415,0.477971797
ALG1L2,0.068604572,0.049639131,0,0.001100574,0.251727165,0.628928558
ALG1L9P,0.367507858,0.087343294,0.004372967,0,0.322122836,0.218653046
ALG2,0.099592914,0.106345328,0.013025904,0.001290169,0.230960484,0.548785201
ALG5,0.255974633,0.095639671,0.000643286,1.26E-10,0.141675982,0.506066428
ALG6,0.154941742,0.044579346,0.035308023,0,0.286630769,0.478540121
ALG8,0.198073436,0.002174488,0.015608263,0.005535856,0.240497901,0.538110056
ALG9,0.257911941,0.011998871,0.004024844,0,0.157308924,0.56875542
ALK,0.830351868,0.005191818,0.00665182,0,0.002341874,0.155462619
ALKBH3,0.054823189,0,0.024467438,0,0.237894949,0.682814424
ALKBH4,0.033430493,0.37524329,0.049999682,0.002258722,0.150914706,0.388153107
ALKBH5,0.133466603,0.232557836,0.031053049,0,0.252111047,0.350811466
ALKBH6,0.030971178,0.408522302,0.17361631,0.003062493,0.214652525,0.169175193
ALKBH8,0.362009254,0.069984084,0.049302577,8.60E-08,0.091343229,0.42736077
ALMS1,0.160912116,0.348965813,0.076922352,8.89E-10,0.239737793,0.173461924
ALOX12-AS1,0.637541303,0.020699628,0,0.004354508,0.128217906,0.209186654
ALOX5,0.770152114,0.003205594,0.001111829,0,0,0.225530463
ALPK1,0.765990161,0.007121165,0,0,0.001079747,0.225808926
ALPK3,0.263164131,0.037247271,1.75E-10,3.48E-06,0.008595311,0.690989812
ALS2,0.675500243,0.100332936,0.016863755,4.31E-11,0.059520021,0.147783044
ALS2CL,0.630970582,0.040215023,0.002921652,0.00405304,0.056648296,0.265191408
AMBRA1,0.314846099,0.256161796,0.02894954,0,0.209813099,0.190229467
AMD1,0.745107366,0.02461463,0.053070454,0.002358653,0.045921194,0.128927702
AMDHD2,0.122506163,0.423466129,7.49E-11,0.004015233,0.196249101,0.253763374
AMER2,0.82032899,0.012454936,0.010721105,0,0.011562176,0.144932792
AMER3,0.651257145,0.067798967,0,0,0.058670491,0.222273397
AMFR,0.363244098,0.061070808,0.003030712,4.64E-07,0.138452641,0.434201277
AMIGO1,0.274776844,0.297843086,0.090872313,0,0.067675985,0.268831773
AMMECR1L,0.257167541,0.034316421,0.002640727,0.002345551,0.074182202,0.629347559
AMN1,0.502553285,0.060479756,0.011673492,4.53E-09,0.131810658,0.293482804
AMOTL1,0.8548436,0.008123107,0.000192276,0,0.020392075,0.116448942
AMOTL2,0.769807601,0.029193335,0.0050656,3.35E-05,0.018064982,0.177834954
AMPD2,0.227994131,0.311626055,0.032819622,0,0.113492808,0.314067384
AMPD3,0.780184387,0.010689768,0.006850131,0,0.014275648,0.188000066
AMPH,0.809997107,0.040820573,0.017501576,0.000814409,0.030975885,0.099890451
AMY2B,0.348294309,0.073102979,0,5.56E-11,0.199290421,0.379312291
AMZ1,0.780521965,0.005355429,0.005405383,0,0.015186374,0.19353085
AMZ2,0.508666285,0.144356755,0.01501363,0,0.047348591,0.284614739
ANAPC1,0.235169145,0.092303233,9.09E-09,0.002311184,0.161061737,0.509154692
ANAPC10,0.213942234,0.30403756,0.096612278,0.001315555,0.133739484,0.250352889
ANAPC11,0.029987374,0.338918115,0.032867393,0,0.241578169,0.356648949
ANAPC13,0.090364144,0.360778541,0.05602596,0.000942344,0.149220614,0.342668397
ANAPC15,0.047877915,0.466608019,0.124644258,0,0.108269951,0.252599857
ANAPC16,0.348676299,0.09955122,0.043989969,2.80E-09,0.309440838,0.198341671
ANAPC2,0.108941916,0.350620807,8.33E-11,0.000557431,0.281986233,0.257893613
ANAPC4,0.434355224,0.069233218,5.70E-11,9.72E-10,0.149965203,0.346446354
ANAPC5,0.763456528,0.068391353,0.001924961,0.005042615,0.052341312,0.108843232
ANAPC7,0.165357717,0.018186301,0.018429652,0.006998286,0.242267055,0.54876099
ANGEL1,0.679217401,0.028655576,0.000636164,0.005744978,0.044016153,0.241729728
ANGPT1,0.73115878,0.011964416,9.55E-05,0,0.007914417,0.248866877
ANGPT2,0.121964116,0.371114792,0.149591742,3.93E-10,0.190540736,0.166788613
ANGPTL1,0.037264662,0.371309659,0.287073719,3.94E-10,0.128751517,0.175600442
ANGPTL4,0.214113346,0.00143785,0.028858344,0,0.001444465,0.754145994
ANK1,0.928438533,0.006223659,0.000617509,0,0.007234229,0.05748607
ANK2,0.717333468,0.111073988,1.72E-11,0.008911252,0.039597089,0.123084203
ANK3,0.844936009,0.046740675,3.45E-11,0.002512564,0.014467752,0.091343
ANKAR,0.657535464,0.011235776,0.000836563,4.67E-09,0.106162535,0.224229657
ANKDD1A,0.787919634,0.006557921,5.28E-09,7.31E-08,0.016967657,0.188554709
ANKDD1B,0.367342718,0.001476749,0.032407534,0,0.226298827,0.372474173
ANKEF1,0.158567173,0.141982664,0.05778044,0.000516656,0.227721243,0.413431824
ANKFN1,0.78449083,0.007509509,0.004116497,0.000157461,0.044049848,0.159675856
ANKFY1,0.461357716,0.048739224,0.021328736,1.57E-08,0.159414174,0.309160135
ANKH,0.791722503,0.038439693,5.20E-11,0,0.047889817,0.121947987
ANKHD1,0.51663368,0.137735282,0.035388197,0,0.189841705,0.120401137
ANKIB1,0.881644141,0.024817143,0,0,0.021433042,0.072105674
ANKLE2,0.366080226,0.096924125,0.033948081,1.20E-06,0.174313561,0.328732811
ANKMY1,0.601823431,0.047559892,0.024414132,0,0.099138821,0.227063724
ANKMY2,0.666524808,0.023528409,0.004292966,0.005963999,0.083169933,0.216519885
ANKRA2,0.45701449,0.166274111,0.012260014,1.73E-05,0.059040202,0.305393929
ANKRD10,0.528858489,0.062221126,5.30E-11,0,0.113500129,0.295420256
ANKRD10-IT1,0.272589044,0.049267075,0,0,0.104034663,0.574109218
ANKRD11,0.466051113,0.161936892,0.025987726,0,0.204986864,0.141037405
ANKRD12,0.478280807,0.122283756,0.001590696,0.003215089,0.191079181,0.20355047
ANKRD13A,0.691009933,0.002883104,0.009151387,0.001811359,0.066359363,0.228784855
ANKRD13B,0.198239431,0.290436427,1.06E-09,0,0.261706794,0.249617347
ANKRD13C,0.292174312,0.215689907,0,2.47E-10,0.223406095,0.268729686
ANKRD13D,0.430728571,0.211507604,0,0.016626397,0.129626975,0.211510453
ANKRD16,0.376943073,0.101734752,1.46E-09,0.004195067,0.230791419,0.286335687
ANKRD17,0.391592701,0.243865938,0.000324865,0,0.148938077,0.21527842
ANKRD18A,0.329483973,0.075258027,0.011465208,0,0.111414997,0.472377795
ANKRD18B,0.474586342,0.073364311,0,5.93E-08,0.185811992,0.266237296
ANKRD20A1,0.251571874,0.070177454,0,0.013566726,0.32307938,0.341604566
ANKRD20A3,0.454656744,0.036448675,0.011765833,0.019923028,0.176556384,0.300649336
ANKRD20A4,0.150620167,0.109988853,4.11E-10,0,0.497512252,0.241878728
ANKRD23,0.51580051,0.108605957,4.44E-11,0.008236371,0.136390497,0.230966665
